"ensembl_gene_id","ensembl_gene_id_hg38","gene_name_hg19","gene_name_local","gene_name_hg38","mismatch_hg19","mismatch_ensembl","entrezgene_ids","refseq_status","refseq_hardcoded","ensembl_transcript_hardcoded"
"ENSG00000105486","ENSG00000105486","LIG1","LIG1","LIG1","FALSE","FALSE",3978,,,
"ENSG00000105612","ENSG00000105612","DNASE2","DNASE2","DNASE2","FALSE","FALSE",1777,,,
"ENSG00000105639","ENSG00000105639","JAK3","JAK3","JAK3","FALSE","FALSE",3718,,,
"ENSG00000107099","ENSG00000107099","DOCK8","DOCK8","DOCK8","FALSE","FALSE",81704,,,
"ENSG00000109101","ENSG00000109101","FOXN1","FOXN1","FOXN1","FALSE","FALSE",8456,,,
"ENSG00000109320","ENSG00000109320","NFKB1","NFKB1","NFKB1","FALSE","FALSE",4790,,,
"ENSG00000109861","ENSG00000109861","CTSC","CTSC","CTSC","FALSE","FALSE",1075,,,
"ENSG00000110057","ENSG00000110057","UNC93B1","UNC93B1","UNC93B1","FALSE","FALSE",81622,,,
"ENSG00000110324","ENSG00000110324","IL10RA","IL10RA","IL10RA","FALSE","FALSE",3587,,,
"ENSG00000110651","ENSG00000110651","CD81","CD81","CD81","FALSE","FALSE",975,,,
"ENSG00000110921","ENSG00000110921","MVK","MVK","MVK","FALSE","FALSE",4598,,,
"ENSG00000111732","ENSG00000111732","AICDA","AICDA","AICDA","FALSE","FALSE",57379,,,
"ENSG00000112182","ENSG00000112182","BACH2","BACH2","BACH2","FALSE","FALSE",60468,,,
"ENSG00000112365","ENSG00000112365","ZBTB24","ZBTB24","ZBTB24","FALSE","FALSE",9841,,,
"ENSG00000112473","ENSG00000112473","SLC39A7","SLC39A7","SLC39A7","FALSE","FALSE",7922,,,
"ENSG00000113263","ENSG00000113263","ITK","ITK","ITK","FALSE","FALSE",3702,,,
"ENSG00000113302","ENSG00000113302","IL12B","IL12B","IL12B","FALSE","FALSE",3593,,,
"ENSG00000115085","ENSG00000115085","ZAP70","ZAP70","ZAP70","FALSE","FALSE",7535,,,
"ENSG00000115267","ENSG00000115267","IFIH1","IFIH1","IFIH1","FALSE","FALSE",64135,,,
"ENSG00000115275","ENSG00000115275","MOGS","MOGS","MOGS","FALSE","FALSE",7841,,,
"ENSG00000115415","ENSG00000115415","STAT1","STAT1","STAT1","FALSE","FALSE",6772,,,
"ENSG00000115935","ENSG00000115935","WIPF1","WIPF1","WIPF1","FALSE","FALSE",7456,,,
"ENSG00000116586","ENSG00000116586","LAMTOR2","LAMTOR2","LAMTOR2","FALSE","FALSE",28956,,,
"ENSG00000116701","ENSG00000116701","NCF2","NCF2","NCF2","FALSE","FALSE",4688,,,
"ENSG00000117322","ENSG00000117322","CR2","CR2","CR2","FALSE","FALSE",1380,,,
"ENSG00000117560","ENSG00000117560","FASLG","FASLG","FASLG","FALSE","FALSE",356,,,
"ENSG00000118503","ENSG00000118503","TNFAIP3","TNFAIP3","TNFAIP3","FALSE","FALSE",7128,,,
"ENSG00000119969","ENSG00000119969","HELLS","HELLS","HELLS","FALSE","FALSE",3070,,,
"ENSG00000121966","ENSG00000121966","CXCR4","CXCR4","CXCR4","FALSE","FALSE",7852,,,
"ENSG00000122218","ENSG00000122218","COPA","COPA","COPA","FALSE","FALSE",1314,,,
"ENSG00000122512","ENSG00000122512","PMS2","PMS2","PMS2","FALSE","FALSE",5395,,,
"ENSG00000124299","ENSG00000124299","PEPD","PEPD","PEPD","FALSE","FALSE",5184,,,
"ENSG00000125726","ENSG00000125726","CD70","CD70","CD70","FALSE","FALSE",970,,,
"ENSG00000125730","ENSG00000125730","C3","C3","C3","FALSE","FALSE",718,,,
"ENSG00000125826","ENSG00000125826","RBCK1","RBCK1","RBCK1","FALSE","FALSE",10616,,,
"ENSG00000126524","ENSG00000126524","SBDS","SBDS","SBDS","FALSE","FALSE",51119,,,
"ENSG00000126759","ENSG00000126759","CFP","CFP","CFP","FALSE","FALSE",5199,,,
"ENSG00000127152","ENSG00000127152","BCL11B","BCL11B","BCL11B","FALSE","FALSE",64919,,,
"ENSG00000128322","ENSG00000128322","IGLL1","IGLL1","IGLL1","FALSE","FALSE",3543,,,
